File	Read Length	Frequency
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	87	4
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	88	5
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	89	3
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	90	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	92	3
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	93	1
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	94	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	95	5
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	96	4
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	97	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	98	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	99	4
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	100	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	101	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	102	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	103	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	104	3
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	105	5
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	106	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	107	7
